lat,lon,n,r_plant_km,r_cover_km,area_km2,emissions_t,capacity,subsector
12.47590,-69.98230,1,0.000,2.000,0.5027,751130.0000,356.5000,electricity-generation
34.71810,69.30760,1,0.000,2.000,0.5027,16270.0000,45.0000,electricity-generation
34.56160,69.29480,1,0.000,2.000,0.5027,30171.0000,108.0000,electricity-generation
-14.95230,13.58020,1,0.000,2.000,0.5027,38800.0000,40.0000,electricity-generation
-9.58050,15.72410,1,0.000,2.000,0.5027,0.0000,51.0000,electricity-generation
-12.47060,13.73190,1,0.000,2.000,0.5027,28628.0000,22.8000,electricity-generation
-8.79890,13.29433,5,7.909,9.909,196.5323,884756.9527,65348.0000,electricity-generation
-12.37839,13.58413,2,1.796,3.796,10.1391,157516.0000,130.0000,electricity-generation
-5.37305,12.20969,2,2.059,4.059,13.3133,119284.0000,30095.0000,electricity-generation
-6.16868,12.32776,2,5.582,7.582,97.8839,817970.0000,870.0000,electricity-generation
-15.33330,15.00000,1,0.000,2.000,0.5027,20760.0000,21.4000,electricity-generation
42.49590,1.52230,1,0.000,2.000,0.5027,0.0000,18.0000,electricity-generation
24.23470,55.74820,1,0.000,2.000,0.5027,305460.0000,192.0000,electricity-generation
25.14950,55.42610,2,2.025,4.025,12.8825,2268700.0000,2184.0000,electricity-generation
25.68630,55.79840,1,0.000,2.000,0.5027,110046.0000,45.0000,electricity-generation
25.79690,55.95660,1,0.000,2.000,0.5027,711460.0000,387.0000,electricity-generation
25.27440,55.43850,1,0.000,2.000,0.5027,0.0000,12.0000,electricity-generation
25.45516,55.47709,3,3.727,5.727,43.6276,2246420.0000,1332.3000,electricity-generation
23.31390,54.17420,1,0.000,2.000,0.5027,506390.0000,191.6500,electricity-generation
23.54640,53.31130,1,0.000,2.000,0.5027,387670.0000,138.1000,electricity-generation
25.16090,52.87660,1,0.000,2.000,0.5027,456080.0000,177.6000,electricity-generation
24.78834,54.70540,4,3.666,5.666,42.2195,27871393.6669,316262.7068,electricity-generation
25.03908,55.10132,4,5.493,7.493,94.7901,27106525.0531,319522.9479,electricity-generation
25.31438,56.36768,3,6.484,8.484,132.0942,3104910.0000,3158.3000,electricity-generation
23.83970,53.65170,1,0.000,2.000,0.5027,1163140.0000,760.0000,electricity-generation
23.90940,53.70580,1,0.000,2.000,0.5027,409530.0000,256.0000,electricity-generation
24.91150,54.91550,1,0.000,2.000,0.5027,6545900.0000,2400.0000,electricity-generation
25.05570,56.34990,1,0.000,2.000,0.5027,276670.0000,109.0000,electricity-generation
25.35490,55.36840,1,0.000,2.000,0.5027,4124000.0000,2065.0000,electricity-generation
23.57950,53.72960,1,0.000,2.000,0.5027,291070.0000,114.6000,electricity-generation
24.12100,53.44700,1,0.000,2.000,0.5027,1327180.0000,1522.8000,electricity-generation
24.12673,52.73189,3,2.238,4.238,15.7312,13279439.2890,1131914.4269,electricity-generation
25.29706,55.61827,2,3.805,5.805,45.4785,1220661.4122,362687.5342,electricity-generation
24.16020,52.56830,1,0.000,2.000,0.5027,4274400.0000,4856.4000,electricity-generation
24.33186,54.46748,3,5.608,7.608,98.7896,1481148.2587,433150.6849,iron-and-steel
24.43480,54.48760,2,0.562,2.562,0.9926,2084000.0000,1966.0000,electricity-generation
25.37320,55.46110,1,0.000,2.000,0.5027,2052300.0000,862.0000,electricity-generation
24.89180,53.06480,1,0.000,2.000,0.5027,745390.0000,330.0000,electricity-generation
-38.04960,-57.54550,1,0.000,2.000,0.5027,430800.0000,182.0000,electricity-generation
-38.93620,-68.35700,1,0.000,2.000,0.5027,1869000.0000,739.7000,electricity-generation
-38.95240,-68.02180,1,0.000,2.000,0.5027,63909.3000,97.5000,electricity-generation
-42.73732,-65.05303,2,0.548,2.548,0.9437,1614579.4595,25130.3425,electricity-generation
-28.44520,-62.85560,1,0.000,2.000,0.5027,8106.5600,21.6000,electricity-generation
-33.31310,-68.89150,1,0.000,2.000,0.5027,57258.5000,41.0000,electricity-generation
-34.72550,-58.73970,1,0.000,2.000,0.5027,10938.9000,106.0000,electricity-generation
-26.17600,-58.20980,1,0.000,2.000,0.5027,3108.3500,30.0000,electricity-generation
-33.36302,-60.15754,3,1.657,3.657,8.6246,5781870.7000,299053.5055,electricity-generation
-33.12460,-60.52200,1,0.000,2.000,0.5027,204250.0000,133.0000,electricity-generation
-37.54730,-59.45280,1,0.000,2.000,0.5027,552610.0000,260.0000,electricity-generation
-31.66480,-63.83160,2,0.307,2.307,0.5027,1093640.0000,496.0000,electricity-generation
-31.71090,-60.78060,1,0.000,2.000,0.5027,62849.0000,292.0000,electricity-generation
-32.78180,-61.41840,1,0.000,2.000,0.5027,28982.4000,65.0000,electricity-generation
-28.49097,-65.77610,2,5.309,7.309,88.5350,10069.2200,38.4000,electricity-generation
-27.75280,-64.26550,1,0.000,2.000,0.5027,28265.0000,32.0000,electricity-generation
-22.34970,-63.76640,1,0.000,2.000,0.5027,39880.0000,30.0000,electricity-generation
-45.76350,-68.29730,1,0.000,2.000,0.5027,376800.0000,244.0000,electricity-generation
-45.80751,-67.46708,3,3.990,5.990,50.0246,240452.9000,329.9700,electricity-generation
-34.62143,-58.35156,4,6.289,8.289,124.2376,7360951.2895,116966.7000,electricity-generation
-26.99608,-65.16973,3,0.824,2.824,2.1352,1956014.0000,1559.0000,electricity-generation
-32.16122,-64.15455,2,0.080,2.080,0.5027,15157.0000,86.0000,electricity-generation
-27.09220,-54.86250,1,0.000,2.000,0.5027,18468.5700,15.0000,electricity-generation
-32.61030,-62.68640,1,0.000,2.000,0.5027,1963.8700,18.3700,electricity-generation
-35.13510,-60.43080,1,0.000,2.000,0.5027,202290.0000,170.0000,electricity-generation
-27.23690,-61.19390,1,0.000,2.000,0.5027,4284.7300,16.0000,electricity-generation
-32.47670,-58.26720,1,0.000,2.000,0.5027,107304.0000,41.0000,electricity-generation
-30.05570,-59.52980,1,0.000,2.000,0.5027,14340.0000,16.5000,electricity-generation
-34.57080,-60.91610,1,0.000,2.000,0.5027,19073.7000,20.0000,electricity-generation
-37.07810,-57.81810,1,0.000,2.000,0.5027,128346.0000,49.8000,electricity-generation
-34.85700,-61.52040,1,0.000,2.000,0.5027,7791.5600,15.0000,electricity-generation
-34.39310,-58.83720,1,0.000,2.000,0.5027,107985.0000,41.0000,electricity-generation
-37.01090,-60.27535,4,8.427,10.427,223.1030,2894485.0966,846384.4658,cement
-31.77640,-60.45530,1,0.000,2.000,0.5027,107304.0000,41.0000,electricity-generation
-37.09530,-56.87890,1,0.000,2.000,0.5027,54147.0000,20.0000,electricity-generation
-25.67860,-59.07560,1,0.000,2.000,0.5027,12030.7800,15.0000,electricity-generation
-31.25670,-61.52030,1,0.000,2.000,0.5027,2722.5100,19.2000,electricity-generation
-37.41020,-68.90010,1,0.000,2.000,0.5027,84334.0000,32.0000,electricity-generation
-31.39340,-64.20590,1,0.000,2.000,0.5027,6267.9000,35.5600,electricity-generation
-34.87906,-57.92244,4,3.556,5.556,39.7273,3895338.7858,189846.4400,electricity-generation
-45.86490,-68.54880,1,0.000,2.000,0.5027,345250.0000,148.0000,electricity-generation
-34.90330,-58.61620,1,0.000,2.000,0.5027,373520.0000,150.0000,electricity-generation
-37.27420,-69.65200,1,0.000,2.000,0.5027,5674.0000,67.5000,electricity-generation
-27.94730,-56.00080,1,0.000,2.000,0.5027,0.0000,40.0000,electricity-generation
-28.60720,-65.12280,1,0.000,2.000,0.5027,6572.2000,60.0000,electricity-generation
-34.90220,-58.73330,1,0.000,2.000,0.5027,3345300.0000,1170.0000,electricity-generation
-34.03640,-63.92170,1,0.000,2.000,0.5027,74088.0000,42.0000,electricity-generation
-33.45530,-60.28360,1,0.000,2.000,0.5027,279532.0000,260.0000,electricity-generation
-24.73537,-65.05034,2,5.191,7.191,84.6541,1363465.0000,1004.0000,electricity-generation
-38.68650,-62.41850,1,0.000,2.000,0.5027,249360.0000,576.0000,electricity-generation
-26.86650,-65.22410,1,0.000,2.000,0.5027,95684.0000,220.0000,electricity-generation
-38.77339,-62.27825,5,3.534,5.534,39.2398,1657216.6585,93672.9333,electricity-generation
-23.25370,-64.24130,1,0.000,2.000,0.5027,0.0000,52.7000,electricity-generation
-33.24220,-62.39460,1,0.000,2.000,0.5027,3545.4800,20.0000,electricity-generation
-25.95640,-60.62020,1,0.000,2.000,0.5027,432.8400,15.0000,electricity-generation
-34.93500,-58.01820,1,0.000,2.000,0.5027,10068.9400,40.6000,electricity-generation
-29.38248,-66.83366,2,0.114,2.114,0.5027,26207.4400,116.0000,electricity-generation
-34.08090,-59.12540,1,0.000,2.000,0.5027,96527.0000,202.0000,electricity-generation
-23.82250,-64.78430,1,0.000,2.000,0.5027,1472.6400,15.6000,electricity-generation
-38.36000,-68.71470,1,0.000,2.000,0.5027,519150.0000,212.0000,electricity-generation
-38.51270,-68.60610,1,0.000,2.000,0.5027,2112640.0000,765.0000,electricity-generation
-33.05893,-68.97956,2,0.658,2.658,1.3622,2758644.9090,106563.0000,electricity-generation
-34.55780,-59.03360,1,0.000,2.000,0.5027,112216.0000,127.0000,electricity-generation
-35.10020,-57.48430,1,0.000,2.000,0.5027,1612.5000,25.0000,electricity-generation
-45.66020,-67.80970,1,0.000,2.000,0.5027,154170.0000,58.5000,electricity-generation
-34.17242,-58.97850,3,3.108,5.108,30.3553,2999008.4080,246912.1918,electricity-generation
-36.72080,-63.19770,1,0.000,2.000,0.5027,10561.1000,30.0000,electricity-generation
-33.15825,-64.36410,2,0.744,2.744,1.7371,362839.0000,608.5700,electricity-generation
-38.57850,-58.71090,1,0.000,2.000,0.5027,112400.0000,206.0000,electricity-generation
-27.50190,-55.12450,1,0.000,2.000,0.5027,6360.4000,17.6000,electricity-generation
-23.13510,-64.29930,1,0.000,2.000,0.5027,2130.3500,10.0700,electricity-generation
-37.24890,-56.99760,1,0.000,2.000,0.5027,102491.6000,127.0000,electricity-generation
-34.40320,-58.96610,1,0.000,2.000,0.5027,127968.8000,99.6000,electricity-generation
-35.83560,-61.87840,1,0.000,2.000,0.5027,17383.0000,20.0000,electricity-generation
-33.00944,-60.79777,2,4.377,6.377,60.1773,57343.5748,55285.4795,electricity-generation
-31.51290,-68.53990,1,0.000,2.000,0.5027,10979.4000,31.5000,electricity-generation
-25.98938,-54.63503,2,0.168,2.168,0.5027,189148.3626,29688.8087,electricity-generation
-26.48070,-54.71600,1,0.000,2.000,0.5027,0.0000,46.0000,electricity-generation
-38.94600,-67.60060,1,0.000,2.000,0.5027,559140.0000,250.0000,electricity-generation
-34.30470,-60.22410,1,0.000,2.000,0.5027,32158.0000,60.0000,electricity-generation
-28.05600,-56.00830,1,0.000,2.000,0.5027,0.0000,40.0000,electricity-generation
-31.43910,-62.11190,1,0.000,2.000,0.5027,7640.9000,39.0000,electricity-generation
-33.77780,-59.72890,1,0.000,2.000,0.5027,185604.0000,108.0000,electricity-generation
-32.90520,-60.68030,1,0.000,2.000,0.5027,17696.0000,140.0000,electricity-generation
-31.46280,-64.23930,1,0.000,2.000,0.5027,9060.7000,140.0000,electricity-generation
-23.73260,-64.61360,1,0.000,2.000,0.5027,73424.0000,89.0000,electricity-generation
-22.54117,-63.80561,2,0.108,2.108,0.5027,74015.5000,34.9800,electricity-generation
-32.69898,-60.74541,3,4.016,6.016,50.6691,918457.3567,52885.0662,electricity-generation
-32.69610,-63.43720,1,0.000,2.000,0.5027,0.0000,10.0000,electricity-generation
-32.57997,-60.79009,3,0.854,2.854,2.2898,3459277.0000,1868.0000,electricity-generation
