lat_lo,lat_hi,lat_mid,area_km2,n_stacks,emissions_t,r_km,one_axis_s,two_axis_s,reacq1_s,reacq2_s,cycle1_s,cycle2_s
-90.0,-88.0,-89.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-88.0,-86.0,-87.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-86.0,-84.0,-85.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-84.0,-82.0,-83.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-82.0,-80.0,-81.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-80.0,-78.0,-79.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-78.0,-76.0,-77.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-76.0,-74.0,-75.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-74.0,-72.0,-73.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-72.0,-70.0,-71.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-70.0,-68.0,-69.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-68.0,-66.0,-67.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-66.0,-64.0,-65.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-64.0,-62.0,-63.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-62.0,-60.0,-61.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-60.0,-58.0,-59.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-58.0,-56.0,-57.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-56.0,-54.0,-55.0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-54.0,-52.0,-53.0,1.5081,3.0000,963988.6354,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-52.0,-50.0,-51.0,0.0000,0.0000,0.0000,5.669,123.584,123.584,220.536,40.026,344.120,163.610
-50.0,-48.0,-49.0,0.0000,0.0000,0.0000,4.077,123.300,123.300,216.050,39.315,339.350,162.615
-48.0,-46.0,-47.0,1.5081,3.0000,720105.5923,3.273,123.050,123.050,208.319,38.088,331.369,161.138
-46.0,-44.0,-45.0,51.5327,6.0000,1116672.9000,4.069,122.800,122.800,148.119,28.541,270.919,151.341
-44.0,-42.0,-43.0,2.4518,5.0000,1620250.5095,4.717,102.612,122.550,148.239,28.560,250.851,151.110
-42.0,-40.0,-41.0,12.1260,5.0000,1405239.6353,5.276,57.374,122.250,97.627,20.532,155.002,142.782
