lat_lo,lat_hi,lat_mid,n_clusters,n_stacks,mean_d_km,mean_r_km,mean_n,frac_singleton_stacks,d_char_n2_km,dens_per_km2
0.000,2.000,1.000,99,158,2.3388,4.3388,3.9367,0.4494,3.4613,8.8759092e-06
2.000,4.000,3.000,119,181,2.1744,4.1744,2.2597,0.4696,4.3176,1.0180375e-05
4.000,6.000,5.000,140,218,2.2048,4.2048,2.8073,0.4679,3.9775,1.2291415e-05
6.000,8.000,7.000,128,190,1.6458,3.6458,2.1895,0.4842,3.3751,1.075208e-05
8.000,10.000,9.000,135,178,1.1251,3.1251,1.8315,0.6292,3.2729,1.0122544e-05
10.000,12.000,11.000,154,219,1.9472,3.9472,2.6895,0.5525,4.3819,1.2531041e-05
12.000,14.000,13.000,147,275,3.5002,5.5002,4.3164,0.3818,4.6827,1.5852522e-05
14.000,16.000,15.000,185,275,2.0512,4.0512,2.2073,0.4909,4.3173,1.5991107e-05
16.000,18.000,17.000,209,304,1.9202,3.9202,2.2697,0.5230,3.9090,1.7855289e-05
18.000,20.000,19.000,255,362,1.5452,3.5452,2.2431,0.5442,3.5719,2.1504439e-05
20.000,22.000,21.000,366,613,2.5870,4.5870,2.9511,0.4144,4.2111,3.6880631e-05
22.000,24.000,23.000,557,969,3.1017,5.1017,3.1486,0.3736,4.9175,5.9127199e-05
24.000,26.000,25.000,507,837,2.5753,4.5753,2.5747,0.4014,4.4335,5.187276e-05
26.000,28.000,27.000,470,744,2.6635,4.6635,2.9059,0.4610,4.8104,4.6900953e-05
28.000,30.000,29.000,568,1010,3.2224,5.2224,3.8020,0.3941,4.6050,6.4862208e-05
30.000,32.000,31.000,702,1290,3.5692,5.5692,3.7411,0.3605,5.1333,8.4530556e-05
32.000,34.000,33.000,765,1278,2.6881,4.6881,3.1283,0.4022,4.3957,8.559119e-05
34.000,36.000,35.000,852,1701,4.1093,6.1093,4.6226,0.3239,5.0255,0.00011663514
36.000,38.000,37.000,853,1667,3.6165,5.6165,3.7487,0.3143,4.7991,0.00011724021
38.000,40.000,39.000,835,1532,3.3485,5.3485,3.6475,0.3584,4.8194,0.00011072502
40.000,42.000,41.000,852,1535,3.2761,5.2761,3.3127,0.3564,4.8344,0.00011423998
42.000,44.000,43.000,531,903,2.7171,4.7171,2.9712,0.3976,4.3609,6.9350548e-05
44.000,46.000,45.000,513,792,2.0691,4.0691,2.3611,0.4520,3.9381,6.2911464e-05
46.000,48.000,47.000,347,465,1.2728,3.2728,1.7699,0.5763,3.5110,3.8296513e-05
48.000,50.000,49.000,321,490,2.0772,4.0772,2.6082,0.4735,3.8908,4.1951044e-05
50.000,52.000,51.000,301,570,3.6694,5.6694,3.3789,0.3333,5.1015,5.0873623e-05
