lat_lo,lat_hi,lat_mid,area_km2,n_stacks,emissions_t,one_axis_s_R5,two_axis_s_R5
-90.0,-88.0,-89.0,0.0000,0.0000,0.0000,0.000,0.000
-88.0,-86.0,-87.0,0.0000,0.0000,0.0000,0.000,0.000
-86.0,-84.0,-85.0,0.0000,0.0000,0.0000,0.000,0.000
-84.0,-82.0,-83.0,0.0000,0.0000,0.0000,0.000,0.000
-82.0,-80.0,-81.0,0.0000,0.0000,0.0000,0.000,0.000
-80.0,-78.0,-79.0,0.0000,0.0000,0.0000,0.000,0.000
-78.0,-76.0,-77.0,0.0000,0.0000,0.0000,0.000,0.000
-76.0,-74.0,-75.0,0.0000,0.0000,0.0000,0.000,0.000
-74.0,-72.0,-73.0,0.0000,0.0000,0.0000,0.000,0.000
-72.0,-70.0,-71.0,0.0000,0.0000,0.0000,0.000,0.000
-70.0,-68.0,-69.0,0.0000,0.0000,0.0000,0.000,0.000
-68.0,-66.0,-67.0,0.0000,0.0000,0.0000,0.000,0.000
-66.0,-64.0,-65.0,0.0000,0.0000,0.0000,0.000,0.000
-64.0,-62.0,-63.0,0.0000,0.0000,0.0000,0.000,0.000
-62.0,-60.0,-61.0,0.0000,0.0000,0.0000,0.000,0.000
-60.0,-58.0,-59.0,0.0000,0.0000,0.0000,0.000,0.000
-58.0,-56.0,-57.0,0.0000,0.0000,0.0000,0.000,0.000
-56.0,-54.0,-55.0,0.0000,0.0000,0.0000,0.000,0.000
-54.0,-52.0,-53.0,1.5080,3.0000,963988.6354,0.000,0.000
-52.0,-50.0,-51.0,0.0000,0.0000,0.0000,123.584,123.584
-50.0,-48.0,-49.0,0.0000,0.0000,0.0000,123.300,123.300
-48.0,-46.0,-47.0,1.5080,3.0000,720105.5923,123.050,123.050
-46.0,-44.0,-45.0,51.5325,6.0000,1116672.9000,122.800,122.800
-44.0,-42.0,-43.0,2.4517,5.0000,1620250.5095,97.250,122.550
-42.0,-40.0,-41.0,12.1258,5.0000,1405239.6353,61.750,122.250
-40.0,-38.0,-39.0,88.6443,45.0000,46598189.4814,47.400,122.000
-38.0,-36.0,-37.0,796.9892,51.0000,12613314.0084,40.450,121.750
-36.0,-34.0,-35.0,698.4657,74.0000,31059608.1523,36.000,121.500
-34.0,-32.0,-33.0,869.0420,108.0000,101861063.8484,32.850,121.300
-32.0,-30.0,-31.0,308.6061,43.0000,13353473.9817,30.450,121.050
-30.0,-28.0,-29.0,237.1098,45.0000,15535638.9658,28.600,120.800
-28.0,-26.0,-27.0,169.2957,81.0000,164288023.4675,27.100,120.600
-26.0,-24.0,-25.0,268.2056,55.0000,69931272.9997,25.850,120.400
-24.0,-22.0,-23.0,2143.8286,171.0000,128740258.7491,24.800,120.200
-22.0,-20.0,-21.0,1521.3732,183.0000,43229048.3275,23.900,120.050
-20.0,-18.0,-19.0,208.2351,93.0000,25823950.6821,23.150,119.900
-18.0,-16.0,-17.0,128.1606,58.0000,10075812.5343,22.550,119.750
-16.0,-14.0,-15.0,60.5148,27.0000,3993872.3759,22.050,119.600
-14.0,-12.0,-13.0,637.8266,59.0000,20467149.6079,21.600,119.450
-12.0,-10.0,-11.0,85.8987,23.0000,7045807.0566,21.250,119.350
-10.0,-8.0,-9.0,536.0338,56.0000,16475880.1498,20.950,119.250
-8.0,-6.0,-7.0,935.8806,103.0000,157752766.6282,20.700,119.200
-6.0,-4.0,-5.0,587.4463,75.0000,65913288.4615,20.550,119.150
-4.0,-2.0,-3.0,995.6637,111.0000,111155859.1781,20.450,119.100
-2.0,0.0,-1.0,419.6451,60.0000,39628187.8233,20.400,119.100
