lat_deg,radius_km,one_axis_s,two_axis_s,lost_s
0.0000,0.500,36.500,119.100,82.600
0.0000,1.000,34.600,119.100,84.500
0.0000,2.000,30.900,119.100,88.200
0.0000,3.000,27.300,119.100,91.800
0.0000,4.000,23.800,119.100,95.300
0.0000,5.000,20.400,119.100,98.700
0.0000,6.000,17.100,119.100,102.000
0.0000,8.000,10.800,119.100,108.300
0.0000,10.000,4.900,119.100,114.200
0.0000,12.000,0.000,119.100,119.100
0.0000,15.000,0.000,119.100,119.100
2.0000,0.500,36.600,119.100,82.500
2.0000,1.000,34.700,119.100,84.400
2.0000,2.000,30.900,119.100,88.200
2.0000,3.000,27.300,119.100,91.800
2.0000,4.000,23.800,119.100,95.300
2.0000,5.000,20.400,119.100,98.700
2.0000,6.000,17.100,119.100,102.000
2.0000,8.000,10.900,119.100,108.200
2.0000,10.000,4.900,119.100,114.200
2.0000,12.000,0.000,119.100,119.100
2.0000,15.000,0.000,119.100,119.100
4.0000,0.500,36.700,119.100,82.400
4.0000,1.000,34.800,119.100,84.300
4.0000,2.000,31.100,119.100,88.000
4.0000,3.000,27.400,119.100,91.700
4.0000,4.000,23.900,119.100,95.200
4.0000,5.000,20.500,119.100,98.600
4.0000,6.000,17.200,119.100,101.900
4.0000,8.000,10.900,119.100,108.200
4.0000,10.000,5.000,119.100,114.100
4.0000,12.000,0.000,119.100,119.100
4.0000,15.000,0.000,119.100,119.100
6.0000,0.500,37.000,119.200,82.200
6.0000,1.000,35.100,119.200,84.100
6.0000,2.000,31.300,119.200,87.900
6.0000,3.000,27.600,119.200,91.600
6.0000,4.000,24.100,119.200,95.100
6.0000,5.000,20.600,119.200,98.600
6.0000,6.000,17.300,119.200,101.900
6.0000,8.000,11.000,119.200,108.200
6.0000,10.000,5.000,119.200,114.200
6.0000,12.000,0.000,119.200,119.200
6.0000,15.000,0.000,119.200,119.200
8.0000,0.500,37.400,119.200,81.800
8.0000,1.000,35.400,119.200,83.800
8.0000,2.000,31.600,119.200,87.600
8.0000,3.000,27.900,119.200,91.300
8.0000,4.000,24.300,119.200,94.900
8.0000,5.000,20.800,119.200,98.400
8.0000,6.000,17.500,119.200,101.700
8.0000,8.000,11.100,119.200,108.100
8.0000,10.000,5.000,119.200,114.200
8.0000,12.000,0.000,119.200,119.200
8.0000,15.000,0.000,119.200,119.200
10.0000,0.500,37.900,119.300,81.400
10.0000,1.000,35.900,119.300,83.400
10.0000,2.000,32.000,119.300,87.300
10.0000,3.000,28.300,119.300,91.000
10.0000,4.000,24.600,119.300,94.700
10.0000,5.000,21.100,119.300,98.200
10.0000,6.000,17.700,119.300,101.600
10.0000,8.000,11.200,119.300,108.100
10.0000,10.000,5.100,119.300,114.200
10.0000,12.000,0.000,119.300,119.300
10.0000,15.000,0.000,119.300,119.300
12.0000,0.500,38.600,119.400,80.800
12.0000,1.000,36.500,119.400,82.900
12.0000,2.000,32.500,119.400,86.900
12.0000,3.000,28.700,119.400,90.700
12.0000,4.000,25.000,119.400,94.400
12.0000,5.000,21.400,119.400,98.000
12.0000,6.000,17.900,119.400,101.500
12.0000,8.000,11.400,119.400,108.000
12.0000,10.000,5.200,119.400,114.200
12.0000,12.000,0.000,119.400,119.400
